epoch,D_A,G_A,cycle_A,idt_A,D_B,G_B,cycle_B,idt_B
1,0.139160931,0.424810588,3.602433205,0.750359297,0.237239927,0.216973618,2.119796038,1.316142082
2,0.201420426,0.267974257,1.051934004,0.629861891,0.248925924,0.763152003,1.261006832,0.569067121
3,0.120910764,0.441361219,1.636170387,0.762206316,0.109918207,0.559819758,1.538318992,0.545728743
4,0.256796122,0.663726687,0.987253129,0.2707555,0.080705315,0.851436138,0.759995282,0.347254843
5,0.096297853,0.794148922,0.972397327,0.600411296,0.123910137,0.430759311,1.165819645,0.478199065
6,0.1745134,0.309892923,0.638563693,0.223619118,0.110131755,0.860912025,0.768527269,0.269321114
7,0.148797244,0.491040468,0.555068135,1.931915283,0.129474804,0.458808243,4.675807476,0.27227217
8,0.106379181,0.64187479,0.836386919,0.831270337,0.160580218,0.417397618,1.536423683,0.339718431
9,0.129300535,0.990184128,0.939462781,0.658342004,0.185202882,0.259814411,2.1791749,0.554027379
10,0.157377779,0.65546006,1.036852837,0.538684607,0.140071049,0.165393144,1.584653258,0.639012694
11,0.246546358,0.145097554,1.875154018,0.221294433,0.097483426,0.414378345,0.664658785,0.936477065
12,0.15359436,0.440940887,0.678882003,0.228448719,0.138914481,0.709369481,0.610622823,0.210866392
13,0.168505952,0.793038845,0.767246783,0.546551287,0.143632218,0.330540329,1.077318788,0.248859674
14,0.260732114,0.693868279,0.933062315,0.199584037,0.347326845,0.062164936,0.496834934,0.243054599
15,0.079847664,0.661952734,1.180601597,0.463218987,0.102849856,0.276575446,1.140974641,0.545297265
16,0.1171147,0.395298272,0.574657023,0.482189775,0.091713473,0.667132974,0.977363825,0.25156197
17,0.110041708,0.405353874,0.796635151,0.250200301,0.102259003,0.440152884,0.855032682,0.287286669
18,0.216027185,0.282352626,1.956821442,0.332215965,0.385908425,0.099965423,0.943929493,0.994647145
19,0.294025809,0.334557235,0.757851601,0.153748348,0.061905935,0.133845508,0.491779119,0.279150575
20,0.257382303,0.703068078,1.437624931,0.222904608,0.052605931,0.358060539,0.712688208,0.320679277
21,0.108820349,0.258509904,0.595429778,0.205212519,0.145330414,0.289264053,0.624678731,0.224995136
22,0.253007293,0.557051003,0.999959946,0.456982106,0.31511116,0.115196496,1.069985032,0.485639036
23,0.120646685,0.377499133,0.995420933,0.369901806,0.2614308,0.632083893,0.851445496,0.355011344
24,0.181642249,0.42394796,0.508716643,0.308378994,0.111549847,0.571362436,0.6311481,0.187260807
25,0.199660957,0.435399652,0.343139499,0.193374589,0.320258439,0.23693186,0.467358589,0.190625221
26,0.109911323,0.425920635,0.491921425,0.408682525,0.18498756,0.250904649,1.680369258,0.176206499
27,0.133052766,0.715657771,0.905864239,0.740904927,0.161948845,0.677064478,2.285594702,0.391357273
28,0.077681586,1.002463579,0.515904129,0.212415308,0.09303005,0.600228012,0.675425649,0.17662777
29,0.103046201,0.66108048,0.481121361,0.154898167,0.326645374,0.537582338,0.473947078,0.209343791
30,0.132536054,0.58074683,0.58299464,0.134712741,0.077846423,0.697360337,0.479099423,0.254464328
31,0.212382078,0.473392099,0.503488719,0.190677658,0.058150589,0.147740111,0.63895452,0.165500522
32,0.219778568,0.374168873,0.52750051,0.16560322,0.137862951,0.539140701,0.586608171,0.157761052
33,0.157822311,0.417000711,0.334362745,0.199940205,0.20396021,0.487707734,0.416010916,0.1162128
34,0.222171843,0.320441604,0.456963837,0.308291614,0.29693988,0.772677183,0.754327118,0.257965237
35,0.056336068,0.648702562,0.678435862,0.344236046,0.165145442,0.501686692,1.197616339,0.219611436
36,0.263900846,0.534051895,1.550033092,0.231645912,0.203494743,0.252931148,0.969379783,0.86886996
37,0.327818483,0.305154979,0.391132534,0.273703992,0.227667376,0.195523828,0.648931861,0.140115321
38,0.150870964,0.309430301,0.790524006,0.348649919,0.103745617,0.437360913,0.912634969,0.24451904
39,0.191467702,0.283497363,0.49386692,0.157700449,0.085568003,0.277351618,0.432274282,0.217672214
40,0.380797356,1.031805873,1.409656048,0.29553318,0.067761682,0.951514482,0.950095594,0.546597064
41,0.156817734,0.165128171,0.440238267,0.156410068,0.255355626,0.676968396,0.519729972,0.12689124
42,0.104499117,0.292806178,1.000646353,0.421421051,0.226177782,0.833919287,1.562407017,0.454699367
43,0.130874828,0.798792064,1.065660238,0.554315865,0.115659632,0.458546638,1.234881163,0.398878306
44,0.080191702,0.490805984,0.840801477,0.249016285,0.180820331,1.017628908,0.790751219,0.467912555
45,0.298408091,0.254081577,0.621671796,0.364706576,0.056735002,0.654724836,1.082204342,0.420111954
46,0.119829282,0.397779077,0.712624133,0.335145831,0.124443695,0.646424592,0.818553865,0.220650792
47,0.187573344,0.275571287,0.390837789,0.150454491,0.122939996,0.723275244,0.414059103,0.148498565
48,0.289083451,1.297465086,0.462882161,0.345712125,0.145932406,0.270898491,0.940740645,0.1992594
49,0.156422704,0.350328863,0.414147377,0.236120224,0.217091233,0.235673353,0.45002681,0.176144361
50,0.16409485,0.155843452,0.541697681,0.259216845,0.228060126,0.808015049,0.734984577,0.178126469
51,0.138979957,0.573078513,0.627176642,0.35708946,0.265119702,0.887624085,0.737602174,0.259803444
52,0.189351052,0.387769073,0.541912079,0.166673735,0.160302535,0.899977803,0.500575304,0.163422465
53,0.163279727,0.312548578,0.589158654,0.38958028,0.119382262,0.836832285,0.736760974,0.239186436
54,0.149609134,0.437664807,0.527476311,0.177464604,0.106832042,0.727282643,0.695587099,0.202497274
55,0.114229597,0.399444789,0.588234603,0.268583655,0.279976696,0.168116018,1.060879469,0.240497798
56,0.378954083,0.075671412,0.563173532,0.305201709,0.042422175,1.199626684,0.963490307,0.221228033
57,0.158286244,0.474390745,0.680769742,0.264641941,0.055933066,0.458313346,0.747031808,0.273425907
58,0.122384913,0.409559935,0.465735495,0.29279682,0.145713508,0.40931803,0.836960375,0.198775053
59,0.149426132,0.610726416,0.463317633,0.16425781,0.163623899,0.377597868,0.38676545,0.189236477
60,0.187332451,0.267339349,0.69401741,0.200433865,0.131681919,0.482660532,1.088003039,0.277190924
61,0.208527774,0.633180022,0.987235308,0.219723761,0.244440749,0.163586661,0.662796855,0.266461134
62,0.121055722,0.348911911,0.390332609,0.137825683,0.154276848,0.448240072,0.469684958,0.28039968
63,0.113648489,0.456312507,0.65620476,0.254237026,0.12626861,0.536940098,0.807307363,0.313384086
64,0.099591188,0.759890378,1.197509766,0.09803088,0.193294168,0.443481624,0.360655248,0.24796702
65,0.130523384,0.572623372,0.828736901,0.56769824,0.123041376,0.500978649,1.321536303,0.302203923
66,0.250012279,0.215875551,0.668248594,0.304391742,0.107909851,1.134718776,0.960437596,0.211333096
67,0.134747133,0.376513034,0.540703475,0.081343859,0.114313424,0.603303909,0.351720393,0.18730782
68,0.101203851,0.461744219,0.454540193,0.212318182,0.164591402,0.726551831,0.869080067,0.107254453
69,0.125013113,0.771002769,0.445885599,0.153872401,0.185033068,0.723636508,0.345202744,0.127564281
70,0.081828304,0.811124146,0.391595423,0.281159937,0.059826426,0.428851604,0.851590872,0.130073041
71,0.269334912,0.130673811,0.481359005,0.088531256,0.19829011,0.347370505,0.521854162,0.133702114
72,0.072834477,0.737542629,0.63471508,0.24058941,0.081023701,0.927150846,0.561461568,0.246300831
73,0.102984525,0.452542305,0.58330977,0.198537141,0.195499629,0.443779916,0.694106519,0.169428289
74,0.107654497,0.698603988,0.366214156,0.211781114,0.098395057,0.450459301,0.698415697,0.109343193
75,0.241398275,0.403722674,0.409728259,0.107894301,0.071204774,0.305962861,0.468218774,0.137290269
76,0.229895651,0.717446446,0.55661869,0.189493969,0.128604025,0.512315273,0.721301913,0.271054506
77,0.199674264,0.316057295,0.491974175,0.180193633,0.137133762,0.199294105,0.599248111,0.151874825
78,0.080802478,0.615018725,0.948653758,0.183317184,0.070763722,1.189896941,0.6825611,0.45917654
79,0.137482941,0.343710214,0.594757318,0.185803801,0.078396268,0.979235709,0.520960093,0.278242141
80,0.088593945,0.729284823,0.933024764,0.537979722,0.159986973,0.680759013,1.179794669,0.453881025
81,0.067532241,0.454862505,0.444752842,0.284608155,0.125633597,0.543214798,0.642715812,0.109792873
82,0.243670523,0.534433007,0.349379063,0.094928309,0.17543453,0.862677157,0.496138334,0.114874452
83,0.158848107,0.421638876,0.801754117,0.302488029,0.08858747,0.814344227,1.01142168,0.369951963
84,0.207837075,0.875044167,0.295604587,0.209064931,0.132422984,0.531155169,0.803120494,0.109744549
85,0.091407195,0.578872085,0.384816974,0.250384778,0.072524272,0.572162986,0.693231106,0.114997789
86,0.08309292,0.665429831,0.344218075,0.240007222,0.092796594,0.493624419,0.45203501,0.103343688
87,0.160224125,0.352490455,0.7252841,0.433381796,0.146464095,1.152822375,0.926490307,0.30334425
88,0.125686347,0.42249611,0.509425342,0.180249691,0.177495942,0.601816058,0.39703548,0.194616601
89,0.078764409,0.564944565,0.664269984,0.234910101,0.074834377,0.710826814,0.808227181,0.219642341
90,0.242191151,0.312904119,0.433308482,0.141196966,0.113570601,0.340456516,0.429048508,0.137435198
91,0.10112074,0.862030029,0.967405438,0.398322791,0.091224074,0.761195719,0.992772698,0.246799111
92,0.142287746,0.37816456,0.340899676,0.146715149,0.196274504,0.407585979,0.452984542,0.106692351
93,0.281582177,0.291294485,0.330010414,0.106316797,0.239416867,0.291717261,0.563854516,0.140443653
94,0.158004791,0.302024126,0.281883836,0.113943331,0.130472362,0.530468404,0.436016619,0.083452329
95,0.157605425,0.272416562,0.598681033,0.967991352,0.149217561,0.715952158,2.014286518,0.21306394
96,0.206466094,0.646145999,0.338462353,0.163331255,0.122602157,0.628366113,0.435499966,0.105181843
97,0.112747885,0.405812413,0.660733938,0.267794907,0.047520161,0.390594423,0.496009946,0.360369623
98,0.229658931,0.357392818,0.304104,0.088089868,0.132316977,0.585226476,0.322540462,0.085694484
99,0.317419946,0.524591982,0.682302654,0.101652138,0.195483476,0.615272343,0.392882198,0.152847946
100,0.392586857,0.915013731,0.400897026,0.190413922,0.259765565,0.149293065,0.54311645,0.095618211
101,0.182599604,0.466137916,0.444897234,0.134312093,0.215926856,0.359080523,0.32725051,0.09904775
102,0.185755253,0.415099531,0.395456314,0.464308411,0.149505287,0.37063539,0.986979723,0.116835758
103,0.186107874,0.335140198,0.268132508,0.10304904,0.094673619,0.41918695,0.280501485,0.105886668
104,0.163556397,0.815326989,0.35741505,0.14390409,0.103975713,0.643936098,0.43374759,0.144255787
105,0.262269914,0.496892631,0.403074324,0.184802026,0.444031537,0.046628244,0.369948208,0.112620607
106,0.176301792,0.81559217,0.356641352,0.11749661,0.105787665,0.38411352,0.333473384,0.140368506
107,0.288950592,0.245560214,0.583014131,0.089866668,0.3271119,0.428878605,0.29847461,0.192427918
108,0.141653985,0.725661218,0.468421578,0.102649219,0.071951076,0.758045852,0.400281191,0.151534364
109,0.075737536,0.246577963,0.390544653,0.182064682,0.14772737,0.558224022,0.682739258,0.108707771
110,0.11438933,0.755275905,0.327281356,0.138341591,0.087159052,0.619820654,0.501260698,0.085235432
111,0.142371833,0.212632254,0.309862375,0.090928987,0.209436893,0.882402658,0.388086677,0.158243194
